Language,Level,Question,Option A,Option B,Option C,Option D,Correct Option
Dart,Beginner,What does the print function do in Dart?,Stores data,Displays a value on the screen,Writes a value to a file,Returns a value,B
React,Beginner,How do you import modules in React?,require module_name,include module_name,import module_name,using module_name,C
Elixir,Advanced,What are advanced use cases for Elixir?,Basic website scripting,None of the above,"High-performance computing, data analysis, AI",File system management,C
Scala,Advanced,What is garbage collection in Scala?,A manual process for freeing memory,None of the above,Automatic memory management system,A method for checking memory leaks,C
Python,Advanced,Discuss performance optimization techniques in Python.,Use only built-in functions,"Optimize algorithms, reduce time complexity",Avoid using any loops,Write all code in one function,B
Bash,Beginner,What is the syntax for a basic Bash program?,print('Hello World'),console.log('Hello World'),System.out.println('Hello World'),echo 'Hello World',A
Bash,Advanced,Discuss performance optimization techniques in Bash.,Avoid using any loops,Use only built-in functions,Write all code in one function,"Optimize algorithms, reduce time complexity",D
Groovy,Beginner,What does the print function do in Groovy?,Returns a value,Stores data,Displays a value on the screen,Writes a value to a file,C
Objective-C,Beginner,What is the syntax for a loop in Objective-C?,for i = 0; i < 10; i++,while i < 10:,loop i in 10,for i in range(10):,D
Ruby,Advanced,How does memory management work in Ruby?,It involves allocation and deallocation of memory,It involves printing memory addresses,Memory management is handled by users,None of the above,A
C,Beginner,What is a list in C?,A function for grouping variables,A way to store numbers,A variable type for text,A data structure that stores ordered elements,D
Elixir,Intermediate,How do you define a class in Elixir?,define ClassName(),class ClassName:,class: ClassName,function ClassName() {},B
Python,Intermediate,How do you define a class in Python?,class ClassName:,class: ClassName,define ClassName(),function ClassName() {},A
Objective-C,Beginner,How do you import modules in Objective-C?,require module_name,import module_name,include module_name,using module_name,B
Scala,Advanced,What is garbage collection in Scala?,A manual process for freeing memory,None of the above,A method for checking memory leaks,Automatic memory management system,D
Ruby,Intermediate,How do you define a class in Ruby?,class ClassName:,class: ClassName,function ClassName() {},define ClassName(),A
C#,Advanced,How does memory management work in C#?,None of the above,Memory management is handled by users,It involves printing memory addresses,It involves allocation and deallocation of memory,D
Rust,Advanced,Discuss performance optimization techniques in Rust.,Use only built-in functions,"Optimize algorithms, reduce time complexity",Write all code in one function,Avoid using any loops,B
Dart,Intermediate,How do you handle errors in Dart?,Error-handling functions,None of the above,Try-except blocks,If-else statements,C
Python,Beginner,How do you import modules in Python?,using module_name,include module_name,require module_name,import module_name,D
Dart,Advanced,How does memory management work in Dart?,It involves printing memory addresses,Memory management is handled by users,It involves allocation and deallocation of memory,None of the above,C
Ruby,Intermediate,What are common data structures in Ruby?,"Lists, dictionaries, sets, tuples","Functions, arrays, objects",None of the above,"Loops, arrays, classes",A
Go,Intermediate,Explain functions in Go.,Functions are reusable blocks of code,Functions are used to store variables,Functions are used for file I/O,Functions handle user input,A
Julia,Advanced,What is garbage collection in Julia?,A method for checking memory leaks,A manual process for freeing memory,Automatic memory management system,None of the above,C
Julia,Beginner,What is an array in Julia?,A list of random values,A set of variables,A collection of functions,A collection of elements of the same type,D
C++,Advanced,Discuss performance optimization techniques in C++.,Write all code in one function,Avoid using any loops,Use only built-in functions,"Optimize algorithms, reduce time complexity",D
R,Beginner,What does the print function do in R?,Stores data,Displays a value on the screen,Writes a value to a file,Returns a value,B
C,Beginner,How do you define a function in C?,def function_name():,function function_name(){},function_name(){},function_name() = {},A
PHP,Beginner,What is an array in PHP?,A collection of elements of the same type,A set of variables,A list of random values,A collection of functions,A
MATLAB,Intermediate,How do you handle errors in MATLAB?,None of the above,Error-handling functions,Try-except blocks,If-else statements,C
PHP,Advanced,How does memory management work in PHP?,None of the above,It involves printing memory addresses,It involves allocation and deallocation of memory,Memory management is handled by users,C
Java,Beginner,What are variables in Java?,Used for function definitions,Used to store data,Used for user input,Used for program flow,B
JavaScript,Beginner,What is the syntax for a loop in JavaScript?,for i in range(10):,for i = 0; i < 10; i++,while i < 10:,loop i in 10,A
Groovy,Advanced,What is garbage collection in Groovy?,None of the above,A method for checking memory leaks,A manual process for freeing memory,Automatic memory management system,D
SQL,Intermediate,Explain the concept of scope in SQL.,None of the above,Scope defines where variables can be accessed,Scope is the time limit for variable usage,Scope is how fast a program runs,B
Elixir,Intermediate,How do you handle errors in Elixir?,Error-handling functions,If-else statements,None of the above,Try-except blocks,D
Python,Advanced,Explain multithreading or asynchronous operations in Python.,Executes one task at a time,Handles memory management,Allows multiple tasks to run concurrently,None of the above,C
Swift,Advanced,Explain multithreading or asynchronous operations in Swift.,None of the above,Allows multiple tasks to run concurrently,Executes one task at a time,Handles memory management,B
Haskell,Intermediate,Explain the concept of scope in Haskell.,None of the above,Scope is how fast a program runs,Scope defines where variables can be accessed,Scope is the time limit for variable usage,C
Python,Advanced,Discuss performance optimization techniques in Python.,Avoid using any loops,"Optimize algorithms, reduce time complexity",Use only built-in functions,Write all code in one function,B
PHP,Advanced,How does memory management work in PHP?,It involves allocation and deallocation of memory,Memory management is handled by users,It involves printing memory addresses,None of the above,A
Julia,Beginner,How do you define a function in Julia?,function_name(){},function_name() = {},function function_name(){},def function_name():,D
Rust,Intermediate,Explain functions in Rust.,Functions are reusable blocks of code,Functions handle user input,Functions are used for file I/O,Functions are used to store variables,A
C++,Intermediate,What are common data structures in C++?,"Loops, arrays, classes","Functions, arrays, objects",None of the above,"Lists, dictionaries, sets, tuples",D
Julia,Intermediate,Explain the concept of scope in Julia.,None of the above,Scope is how fast a program runs,Scope defines where variables can be accessed,Scope is the time limit for variable usage,C
Kotlin,Intermediate,What are common data structures in Kotlin?,"Loops, arrays, classes",None of the above,"Functions, arrays, objects","Lists, dictionaries, sets, tuples",D
JavaScript,Beginner,How do you import modules in JavaScript?,import module_name,using module_name,require module_name,include module_name,A
Kotlin,Advanced,What is garbage collection in Kotlin?,A manual process for freeing memory,A method for checking memory leaks,None of the above,Automatic memory management system,D
PHP,Advanced,How does memory management work in PHP?,None of the above,Memory management is handled by users,It involves allocation and deallocation of memory,It involves printing memory addresses,C
Groovy,Advanced,What is garbage collection in Groovy?,A manual process for freeing memory,Automatic memory management system,A method for checking memory leaks,None of the above,B
Ruby,Intermediate,How do you define a class in Ruby?,define ClassName(),class ClassName:,class: ClassName,function ClassName() {},B
PHP,Advanced,What is garbage collection in PHP?,A method for checking memory leaks,None of the above,Automatic memory management system,A manual process for freeing memory,C
Groovy,Beginner,What is the syntax for a loop in Groovy?,for i = 0; i < 10; i++,while i < 10:,for i in range(10):,loop i in 10,C
Lua,Beginner,How do you import modules in Lua?,require module_name,import module_name,using module_name,include module_name,B
HTML & CSS,Advanced,How does memory management work in HTML & CSS?,It involves allocation and deallocation of memory,None of the above,It involves printing memory addresses,Memory management is handled by users,A
SQL,Intermediate,How do you handle errors in SQL?,None of the above,If-else statements,Try-except blocks,Error-handling functions,C
Go,Beginner,How do you write comments in Go?,# comment,comment(),// comment,/* comment */,A
TypeScript,Advanced,What is garbage collection in TypeScript?,A manual process for freeing memory,A method for checking memory leaks,Automatic memory management system,None of the above,C
Lua,Beginner,What are variables in Lua?,Used for user input,Used for function definitions,Used to store data,Used for program flow,C
Swift,Intermediate,How do you define a class in Swift?,function ClassName() {},class ClassName:,define ClassName(),class: ClassName,B
Groovy,Advanced,Discuss performance optimization techniques in Groovy.,"Optimize algorithms, reduce time complexity",Write all code in one function,Use only built-in functions,Avoid using any loops,A
TypeScript,Advanced,What is garbage collection in TypeScript?,A manual process for freeing memory,Automatic memory management system,A method for checking memory leaks,None of the above,B
Kotlin,Beginner,How do you import modules in Kotlin?,using module_name,require module_name,import module_name,include module_name,C
C,Intermediate,Explain the concept of scope in C.,Scope is the time limit for variable usage,Scope defines where variables can be accessed,None of the above,Scope is how fast a program runs,B
Objective-C,Intermediate,Explain the concept of scope in Objective-C.,Scope is how fast a program runs,Scope is the time limit for variable usage,Scope defines where variables can be accessed,None of the above,C
Dart,Beginner,What is the syntax for a loop in Dart?,for i in range(10):,for i = 0; i < 10; i++,while i < 10:,loop i in 10,A
Perl,Advanced,How does memory management work in Perl?,It involves printing memory addresses,Memory management is handled by users,None of the above,It involves allocation and deallocation of memory,D
R,Advanced,What are advanced use cases for R?,Basic website scripting,None of the above,File system management,"High-performance computing, data analysis, AI",D
Python,Advanced,Discuss performance optimization techniques in Python.,Avoid using any loops,"Optimize algorithms, reduce time complexity",Write all code in one function,Use only built-in functions,B
C,Beginner,What is the difference between a string and an integer in C?,"A string is a number, and an integer is text",A string is a sequence of characters,There is no difference,"An integer is a whole number, a string is text",D
Bash,Advanced,Explain multithreading or asynchronous operations in Bash.,Allows multiple tasks to run concurrently,Handles memory management,None of the above,Executes one task at a time,A
Objective-C,Beginner,What is the difference between a string and an integer in Objective-C?,"An integer is a whole number, a string is text",There is no difference,"A string is a number, and an integer is text",A string is a sequence of characters,A
F#,Intermediate,How do you handle errors in F#?,Try-except blocks,If-else statements,None of the above,Error-handling functions,A
Perl,Intermediate,Explain functions in Perl.,Functions are used to store variables,Functions handle user input,Functions are used for file I/O,Functions are reusable blocks of code,D
JavaScript,Intermediate,Explain functions in JavaScript.,Functions handle user input,Functions are used to store variables,Functions are used for file I/O,Functions are reusable blocks of code,D
Bash,Beginner,What is the syntax for a loop in Bash?,loop i in 10,for i in range(10):,for i = 0; i < 10; i++,while i < 10:,B
Rust,Intermediate,Explain functions in Rust.,Functions handle user input,Functions are reusable blocks of code,Functions are used to store variables,Functions are used for file I/O,B
COBOL,Advanced,Discuss performance optimization techniques in COBOL.,Use only built-in functions,"Optimize algorithms, reduce time complexity",Avoid using any loops,Write all code in one function,B
Bash,Advanced,Explain multithreading or asynchronous operations in Bash.,Handles memory management,None of the above,Allows multiple tasks to run concurrently,Executes one task at a time,C
C,Intermediate,How do you handle errors in C?,None of the above,If-else statements,Error-handling functions,Try-except blocks,D
Kotlin,Intermediate,Explain functions in Kotlin.,Functions are reusable blocks of code,Functions are used for file I/O,Functions handle user input,Functions are used to store variables,A
C,Beginner,How do you write comments in C?,/* comment */,// comment,comment(),# comment,D
TypeScript,Intermediate,Explain the concept of scope in TypeScript.,Scope defines where variables can be accessed,Scope is the time limit for variable usage,Scope is how fast a program runs,None of the above,A
Elixir,Beginner,What is an array in Elixir?,A collection of elements of the same type,A collection of functions,A list of random values,A set of variables,A
JavaScript,Intermediate,Explain the concept of scope in JavaScript.,Scope is how fast a program runs,Scope is the time limit for variable usage,None of the above,Scope defines where variables can be accessed,D
Elixir,Advanced,How does memory management work in Elixir?,It involves allocation and deallocation of memory,Memory management is handled by users,It involves printing memory addresses,None of the above,A
C,Beginner,What does the print function do in C?,Writes a value to a file,Returns a value,Displays a value on the screen,Stores data,C
Julia,Beginner,What is a list in Julia?,A function for grouping variables,A variable type for text,A way to store numbers,A data structure that stores ordered elements,D
C,Intermediate,How do you handle errors in C?,If-else statements,Try-except blocks,Error-handling functions,None of the above,B
MATLAB,Intermediate,Explain functions in MATLAB.,Functions are used to store variables,Functions handle user input,Functions are used for file I/O,Functions are reusable blocks of code,D
Elixir,Intermediate,Explain functions in Elixir.,Functions are used for file I/O,Functions handle user input,Functions are used to store variables,Functions are reusable blocks of code,D
C,Intermediate,How do you handle errors in C?,Error-handling functions,If-else statements,None of the above,Try-except blocks,D
Ruby,Advanced,Discuss performance optimization techniques in Ruby.,"Optimize algorithms, reduce time complexity",Write all code in one function,Use only built-in functions,Avoid using any loops,A
Python,Advanced,Explain multithreading or asynchronous operations in Python.,None of the above,Allows multiple tasks to run concurrently,Executes one task at a time,Handles memory management,B
JavaScript,Beginner,What are variables in JavaScript?,Used for user input,Used for program flow,Used for function definitions,Used to store data,D
Dart,Intermediate,Explain the concept of scope in Dart.,None of the above,Scope is how fast a program runs,Scope defines where variables can be accessed,Scope is the time limit for variable usage,C
HTML & CSS,Intermediate,Explain the concept of scope in HTML & CSS.,Scope defines where variables can be accessed,Scope is the time limit for variable usage,Scope is how fast a program runs,None of the above,A
Objective-C,Intermediate,How do you handle errors in Objective-C?,Error-handling functions,None of the above,Try-except blocks,If-else statements,C
Lua,Advanced,Explain multithreading or asynchronous operations in Lua.,Handles memory management,Executes one task at a time,None of the above,Allows multiple tasks to run concurrently,D
Elixir,Beginner,What is a list in Elixir?,A data structure that stores ordered elements,A variable type for text,A way to store numbers,A function for grouping variables,A
Groovy,Advanced,What is garbage collection in Groovy?,A method for checking memory leaks,Automatic memory management system,A manual process for freeing memory,None of the above,B
Dart,Beginner,What is a list in Dart?,A function for grouping variables,A way to store numbers,A variable type for text,A data structure that stores ordered elements,D
Kotlin,Beginner,How do you define a function in Kotlin?,function function_name(){},function_name(){},function_name() = {},def function_name():,D
JavaScript,Advanced,What are advanced use cases for JavaScript?,None of the above,"High-performance computing, data analysis, AI",File system management,Basic website scripting,B
COBOL,Advanced,How does memory management work in COBOL?,None of the above,Memory management is handled by users,It involves printing memory addresses,It involves allocation and deallocation of memory,D
Julia,Intermediate,How do you handle errors in Julia?,None of the above,If-else statements,Try-except blocks,Error-handling functions,C
COBOL,Beginner,What is the syntax for a basic COBOL program?,console.log('Hello World'),echo 'Hello World',System.out.println('Hello World'),print('Hello World'),D
Ruby,Intermediate,Explain the concept of scope in Ruby.,Scope is how fast a program runs,Scope is the time limit for variable usage,None of the above,Scope defines where variables can be accessed,D
Bash,Intermediate,What are common data structures in Bash?,"Loops, arrays, classes",None of the above,"Lists, dictionaries, sets, tuples","Functions, arrays, objects",C
PHP,Intermediate,How do you handle errors in PHP?,Error-handling functions,Try-except blocks,If-else statements,None of the above,B
MATLAB,Advanced,Discuss performance optimization techniques in MATLAB.,Write all code in one function,Use only built-in functions,Avoid using any loops,"Optimize algorithms, reduce time complexity",D
C++,Intermediate,Explain the concept of scope in C++.,Scope defines where variables can be accessed,Scope is how fast a program runs,Scope is the time limit for variable usage,None of the above,A
F#,Beginner,What does the print function do in F#?,Displays a value on the screen,Writes a value to a file,Returns a value,Stores data,A
Groovy,Beginner,How do you write comments in Groovy?,# comment,/* comment */,// comment,comment(),A
COBOL,Beginner,What are variables in COBOL?,Used to store data,Used for user input,Used for function definitions,Used for program flow,A
Python,Beginner,What is the syntax for a loop in Python?,loop i in 10,for i = 0; i < 10; i++,while i < 10:,for i in range(10):,D
Java,Beginner,What is the syntax for a basic Java program?,echo 'Hello World',System.out.println('Hello World'),console.log('Hello World'),print('Hello World'),D
Perl,Advanced,What is garbage collection in Perl?,Automatic memory management system,None of the above,A manual process for freeing memory,A method for checking memory leaks,A
Groovy,Beginner,How do you import modules in Groovy?,include module_name,import module_name,require module_name,using module_name,B
Rust,Intermediate,How do you define a class in Rust?,class ClassName:,class: ClassName,function ClassName() {},define ClassName(),A
Python,Advanced,Explain multithreading or asynchronous operations in Python.,Handles memory management,Executes one task at a time,None of the above,Allows multiple tasks to run concurrently,D
Perl,Intermediate,What are common data structures in Perl?,None of the above,"Functions, arrays, objects","Loops, arrays, classes","Lists, dictionaries, sets, tuples",D
COBOL,Beginner,What is an array in COBOL?,A set of variables,A collection of functions,A list of random values,A collection of elements of the same type,D
R,Beginner,What is a list in R?,A variable type for text,A function for grouping variables,A data structure that stores ordered elements,A way to store numbers,C
R,Advanced,What are advanced use cases for R?,None of the above,Basic website scripting,File system management,"High-performance computing, data analysis, AI",D
JavaScript,Intermediate,How do you define a class in JavaScript?,class ClassName:,define ClassName(),class: ClassName,function ClassName() {},A
F#,Advanced,Explain multithreading or asynchronous operations in F#.,Executes one task at a time,Allows multiple tasks to run concurrently,Handles memory management,None of the above,B
Objective-C,Intermediate,Explain the concept of scope in Objective-C.,Scope is the time limit for variable usage,Scope defines where variables can be accessed,None of the above,Scope is how fast a program runs,B
SQL,Beginner,What is the difference between a string and an integer in SQL?,"An integer is a whole number, a string is text","A string is a number, and an integer is text",There is no difference,A string is a sequence of characters,A
HTML & CSS,Advanced,Discuss performance optimization techniques in HTML & CSS.,Avoid using any loops,"Optimize algorithms, reduce time complexity",Write all code in one function,Use only built-in functions,B
Haskell,Beginner,How do you import modules in Haskell?,require module_name,import module_name,include module_name,using module_name,B
Objective-C,Intermediate,Explain the concept of scope in Objective-C.,Scope is the time limit for variable usage,None of the above,Scope is how fast a program runs,Scope defines where variables can be accessed,D
Ruby,Advanced,Discuss performance optimization techniques in Ruby.,"Optimize algorithms, reduce time complexity",Write all code in one function,Use only built-in functions,Avoid using any loops,A
Groovy,Beginner,What is the syntax for a loop in Groovy?,loop i in 10,while i < 10:,for i in range(10):,for i = 0; i < 10; i++,C
React,Beginner,What does the print function do in React?,Returns a value,Displays a value on the screen,Writes a value to a file,Stores data,B
PHP,Beginner,What are variables in PHP?,Used to store data,Used for function definitions,Used for user input,Used for program flow,A
COBOL,Beginner,What is an array in COBOL?,A list of random values,A collection of functions,A set of variables,A collection of elements of the same type,D
Scala,Intermediate,How do you handle errors in Scala?,Error-handling functions,None of the above,If-else statements,Try-except blocks,D
Objective-C,Advanced,Explain multithreading or asynchronous operations in Objective-C.,None of the above,Allows multiple tasks to run concurrently,Executes one task at a time,Handles memory management,B
SQL,Intermediate,What are common data structures in SQL?,"Functions, arrays, objects",None of the above,"Loops, arrays, classes","Lists, dictionaries, sets, tuples",D
Go,Intermediate,What are common data structures in Go?,None of the above,"Lists, dictionaries, sets, tuples","Loops, arrays, classes","Functions, arrays, objects",B
Lua,Advanced,How does memory management work in Lua?,Memory management is handled by users,It involves printing memory addresses,It involves allocation and deallocation of memory,None of the above,C
Dart,Beginner,What does the print function do in Dart?,Displays a value on the screen,Returns a value,Writes a value to a file,Stores data,A
C++,Advanced,How does memory management work in C++?,Memory management is handled by users,None of the above,It involves allocation and deallocation of memory,It involves printing memory addresses,C
C++,Advanced,What is garbage collection in C++?,None of the above,Automatic memory management system,A method for checking memory leaks,A manual process for freeing memory,B
Ruby,Intermediate,How do you handle errors in Ruby?,Try-except blocks,If-else statements,Error-handling functions,None of the above,A
Rust,Beginner,What are variables in Rust?,Used for program flow,Used for function definitions,Used to store data,Used for user input,C
COBOL,Intermediate,How do you handle errors in COBOL?,None of the above,If-else statements,Try-except blocks,Error-handling functions,C
Objective-C,Advanced,Explain multithreading or asynchronous operations in Objective-C.,Allows multiple tasks to run concurrently,None of the above,Executes one task at a time,Handles memory management,A
F#,Beginner,What is a list in F#?,A variable type for text,A way to store numbers,A data structure that stores ordered elements,A function for grouping variables,C
COBOL,Beginner,What is the difference between a string and an integer in COBOL?,"An integer is a whole number, a string is text",There is no difference,"A string is a number, and an integer is text",A string is a sequence of characters,A
Python,Beginner,What is an array in Python?,A set of variables,A list of random values,A collection of elements of the same type,A collection of functions,C
Rust,Advanced,Discuss performance optimization techniques in Rust.,"Optimize algorithms, reduce time complexity",Use only built-in functions,Avoid using any loops,Write all code in one function,A
MATLAB,Advanced,Discuss performance optimization techniques in MATLAB.,"Optimize algorithms, reduce time complexity",Write all code in one function,Use only built-in functions,Avoid using any loops,A
Dart,Intermediate,How do you handle errors in Dart?,Error-handling functions,Try-except blocks,If-else statements,None of the above,B
Rust,Intermediate,How do you handle errors in Rust?,Try-except blocks,Error-handling functions,If-else statements,None of the above,A
Elixir,Intermediate,How do you define a class in Elixir?,define ClassName(),function ClassName() {},class ClassName:,class: ClassName,C
Java,Beginner,How do you define a function in Java?,def function_name():,function_name(){},function function_name(){},function_name() = {},A
COBOL,Intermediate,How do you handle errors in COBOL?,Try-except blocks,If-else statements,Error-handling functions,None of the above,A
Objective-C,Intermediate,Explain functions in Objective-C.,Functions are used for file I/O,Functions are used to store variables,Functions are reusable blocks of code,Functions handle user input,C
F#,Beginner,What is an array in F#?,A list of random values,A collection of functions,A collection of elements of the same type,A set of variables,C
Kotlin,Beginner,What is an array in Kotlin?,A collection of functions,A collection of elements of the same type,A set of variables,A list of random values,B
C++,Beginner,How do you write comments in C++?,# comment,// comment,/* comment */,comment(),A
Perl,Intermediate,Explain the concept of scope in Perl.,Scope is how fast a program runs,Scope defines where variables can be accessed,None of the above,Scope is the time limit for variable usage,B
C#,Beginner,How do you define a function in C#?,def function_name():,function function_name(){},function_name() = {},function_name(){},A
Dart,Advanced,Discuss performance optimization techniques in Dart.,Avoid using any loops,Use only built-in functions,"Optimize algorithms, reduce time complexity",Write all code in one function,C
Python,Beginner,What are variables in Python?,Used for function definitions,Used for program flow,Used to store data,Used for user input,C
Haskell,Beginner,How do you write comments in Haskell?,# comment,comment(),// comment,/* comment */,A
Lua,Beginner,What is an array in Lua?,A collection of elements of the same type,A list of random values,A set of variables,A collection of functions,A
Groovy,Advanced,What is garbage collection in Groovy?,None of the above,Automatic memory management system,A manual process for freeing memory,A method for checking memory leaks,B
SQL,Intermediate,What are common data structures in SQL?,None of the above,"Lists, dictionaries, sets, tuples","Loops, arrays, classes","Functions, arrays, objects",B
Kotlin,Intermediate,Explain the concept of scope in Kotlin.,None of the above,Scope defines where variables can be accessed,Scope is how fast a program runs,Scope is the time limit for variable usage,B
Groovy,Advanced,What is garbage collection in Groovy?,Automatic memory management system,A method for checking memory leaks,A manual process for freeing memory,None of the above,A
Kotlin,Beginner,What is the syntax for a basic Kotlin program?,console.log('Hello World'),print('Hello World'),echo 'Hello World',System.out.println('Hello World'),B
Java,Intermediate,How do you define a class in Java?,function ClassName() {},define ClassName(),class ClassName:,class: ClassName,C
C,Advanced,What are advanced use cases for C?,Basic website scripting,None of the above,"High-performance computing, data analysis, AI",File system management,C
Python,Intermediate,What are common data structures in Python?,"Loops, arrays, classes","Lists, dictionaries, sets, tuples","Functions, arrays, objects",None of the above,B
C,Advanced,What is garbage collection in C?,Automatic memory management system,A manual process for freeing memory,A method for checking memory leaks,None of the above,A
COBOL,Beginner,What is the difference between a string and an integer in COBOL?,"An integer is a whole number, a string is text",There is no difference,"A string is a number, and an integer is text",A string is a sequence of characters,A
React,Intermediate,What are common data structures in React?,"Functions, arrays, objects","Lists, dictionaries, sets, tuples",None of the above,"Loops, arrays, classes",B
Python,Advanced,Explain multithreading or asynchronous operations in Python.,Handles memory management,Allows multiple tasks to run concurrently,Executes one task at a time,None of the above,B
Perl,Beginner,What are variables in Perl?,Used for user input,Used for program flow,Used to store data,Used for function definitions,C
F#,Intermediate,Explain functions in F#.,Functions are used for file I/O,Functions are reusable blocks of code,Functions are used to store variables,Functions handle user input,B
Ruby,Intermediate,Explain the concept of scope in Ruby.,None of the above,Scope is the time limit for variable usage,Scope is how fast a program runs,Scope defines where variables can be accessed,D
TypeScript,Advanced,What is garbage collection in TypeScript?,A manual process for freeing memory,None of the above,Automatic memory management system,A method for checking memory leaks,C
Rust,Advanced,How does memory management work in Rust?,Memory management is handled by users,None of the above,It involves allocation and deallocation of memory,It involves printing memory addresses,C
Ruby,Beginner,How do you write comments in Ruby?,/* comment */,// comment,comment(),# comment,D
HTML & CSS,Intermediate,What are common data structures in HTML & CSS?,"Loops, arrays, classes","Lists, dictionaries, sets, tuples",None of the above,"Functions, arrays, objects",B
C#,Advanced,What are advanced use cases for C#?,File system management,"High-performance computing, data analysis, AI",None of the above,Basic website scripting,B
Scala,Advanced,How does memory management work in Scala?,It involves printing memory addresses,None of the above,It involves allocation and deallocation of memory,Memory management is handled by users,C
React,Intermediate,Explain functions in React.,Functions are used to store variables,Functions are used for file I/O,Functions are reusable blocks of code,Functions handle user input,C
Objective-C,Intermediate,How do you handle errors in Objective-C?,Error-handling functions,None of the above,Try-except blocks,If-else statements,C
Kotlin,Intermediate,Explain functions in Kotlin.,Functions are reusable blocks of code,Functions handle user input,Functions are used for file I/O,Functions are used to store variables,A
Kotlin,Advanced,What is garbage collection in Kotlin?,Automatic memory management system,None of the above,A manual process for freeing memory,A method for checking memory leaks,A
R,Beginner,What is the syntax for a loop in R?,for i = 0; i < 10; i++,loop i in 10,for i in range(10):,while i < 10:,C
R,Intermediate,How do you define a class in R?,class ClassName:,define ClassName(),class: ClassName,function ClassName() {},A
SQL,Intermediate,What are common data structures in SQL?,"Lists, dictionaries, sets, tuples","Functions, arrays, objects","Loops, arrays, classes",None of the above,A
SQL,Beginner,What is the syntax for a loop in SQL?,while i < 10:,for i = 0; i < 10; i++,loop i in 10,for i in range(10):,D
Kotlin,Intermediate,What are common data structures in Kotlin?,None of the above,"Loops, arrays, classes","Lists, dictionaries, sets, tuples","Functions, arrays, objects",C
JavaScript,Beginner,What is the difference between a string and an integer in JavaScript?,A string is a sequence of characters,"A string is a number, and an integer is text","An integer is a whole number, a string is text",There is no difference,C
Haskell,Beginner,What is the syntax for a loop in Haskell?,loop i in 10,for i in range(10):,for i = 0; i < 10; i++,while i < 10:,B
Scala,Beginner,What is a list in Scala?,A function for grouping variables,A way to store numbers,A variable type for text,A data structure that stores ordered elements,D
Julia,Intermediate,What are common data structures in Julia?,"Lists, dictionaries, sets, tuples","Functions, arrays, objects",None of the above,"Loops, arrays, classes",A
JavaScript,Intermediate,How do you handle errors in JavaScript?,Try-except blocks,Error-handling functions,If-else statements,None of the above,A
Rust,Intermediate,How do you handle errors in Rust?,None of the above,Error-handling functions,Try-except blocks,If-else statements,C
React,Advanced,What are advanced use cases for React?,File system management,"High-performance computing, data analysis, AI",Basic website scripting,None of the above,B
Kotlin,Advanced,What is garbage collection in Kotlin?,Automatic memory management system,A manual process for freeing memory,None of the above,A method for checking memory leaks,A
MATLAB,Beginner,What is the syntax for a loop in MATLAB?,for i = 0; i < 10; i++,while i < 10:,for i in range(10):,loop i in 10,C
SQL,Beginner,How do you define a function in SQL?,function_name() = {},function_name(){},function function_name(){},def function_name():,D
F#,Beginner,How do you write comments in F#?,# comment,comment(),/* comment */,// comment,A
Groovy,Beginner,What is the difference between a string and an integer in Groovy?,"A string is a number, and an integer is text","An integer is a whole number, a string is text",A string is a sequence of characters,There is no difference,B
PHP,Intermediate,Explain functions in PHP.,Functions handle user input,Functions are reusable blocks of code,Functions are used for file I/O,Functions are used to store variables,B
COBOL,Intermediate,Explain functions in COBOL.,Functions handle user input,Functions are used to store variables,Functions are reusable blocks of code,Functions are used for file I/O,C
Groovy,Advanced,What is garbage collection in Groovy?,None of the above,Automatic memory management system,A manual process for freeing memory,A method for checking memory leaks,B
Java,Advanced,What are advanced use cases for Java?,File system management,None of the above,Basic website scripting,"High-performance computing, data analysis, AI",D
MATLAB,Beginner,What is the syntax for a loop in MATLAB?,for i = 0; i < 10; i++,loop i in 10,for i in range(10):,while i < 10:,C
React,Beginner,How do you write comments in React?,/* comment */,// comment,# comment,comment(),C
C#,Intermediate,How do you define a class in C#?,define ClassName(),function ClassName() {},class ClassName:,class: ClassName,C
TypeScript,Intermediate,Explain functions in TypeScript.,Functions are reusable blocks of code,Functions are used for file I/O,Functions are used to store variables,Functions handle user input,A
Dart,Advanced,How does memory management work in Dart?,It involves allocation and deallocation of memory,None of the above,It involves printing memory addresses,Memory management is handled by users,A
JavaScript,Advanced,What is garbage collection in JavaScript?,A method for checking memory leaks,A manual process for freeing memory,Automatic memory management system,None of the above,C
SQL,Beginner,What is the syntax for a loop in SQL?,loop i in 10,while i < 10:,for i = 0; i < 10; i++,for i in range(10):,D
Ruby,Beginner,What is an array in Ruby?,A list of random values,A set of variables,A collection of functions,A collection of elements of the same type,D
Elixir,Intermediate,How do you handle errors in Elixir?,Error-handling functions,Try-except blocks,None of the above,If-else statements,B
Bash,Intermediate,Explain functions in Bash.,Functions handle user input,Functions are used to store variables,Functions are reusable blocks of code,Functions are used for file I/O,C
COBOL,Intermediate,Explain the concept of scope in COBOL.,Scope defines where variables can be accessed,Scope is the time limit for variable usage,None of the above,Scope is how fast a program runs,A
Swift,Advanced,How does memory management work in Swift?,None of the above,Memory management is handled by users,It involves allocation and deallocation of memory,It involves printing memory addresses,C
Dart,Beginner,What does the print function do in Dart?,Writes a value to a file,Returns a value,Displays a value on the screen,Stores data,C
R,Advanced,How does memory management work in R?,It involves allocation and deallocation of memory,It involves printing memory addresses,Memory management is handled by users,None of the above,A
